type,blue,orange
1,0.130434783,0.347826087
1,0.19047619,0.19047619
1,0.19047619,0.047619048
1,0.142857143,0.238095238
1,0.19047619,0.285714286
1,0.08,0.16
1,0.363636364,0.136363636
1,0.19047619,0.047619048
1,0.15,0.25
1,0.142857143,0.095238095
1,0.45,0.15
1,0.210526316,0.052631579
1,0.15,0.05
1,0.222222222,0.055555556
1,0.173913043,0.173913043
1,0.2,0.1
1,0.05,0.15
1,0.333333333,0.238095238
1,0.318181818,0.181818182
1,0.05,0
1,0.095238095,0.285714286
1,0.2,0.15
1,0.105263158,0.263157895
1,0,0.157894737
1,0.111111111,0.222222222
1,0.277777778,0
1,0.25,0.15
1,0.263157895,0.157894737
1,0.333333333,0.133333333
1,0.105263158,0
1,0.111111111,0.055555556
1,0.222222222,0.055555556
1,0.210526316,0.052631579
1,0.333333333,0.095238095
1,0.3,0.15
1,0.052631579,0
1,0,0.052631579
1,0.105263158,0.052631579
1,0.136363636,0.227272727
1,0.105263158,0.263157895
1,0.210526316,0.052631579
0,0.189655172,0.155172414
0,0.196078431,0.117647059
0,0.208955224,0.298507463
0,0.13253012,0.277108434
0,0.096774194,0.241935484
0,0.245614035,0.070175439
0,0.245614035,0.175438596
0,0.213114754,0.06557377
0,0.2,0.181818182
0,0.155172414,0.189655172
0,0.125,0.178571429
0,0.303571429,0.125
0,0.275862069,0.155172414
0,0.254545455,0.145454545
0,0.111111111,0.148148148
0,0.210526316,0.192982456
0,0.160714286,0.214285714
0,0.240740741,0.185185185
0,0.210526316,0.192982456
0,0.188679245,0.226415094
0,0.277777778,0.148148148
0,0.267857143,0.232142857
0,0.127272727,0.254545455
0,0.240740741,0.259259259
0,0.4,0.181818182
0,0.235294118,0.137254902
0,0.267857143,0.125
0,0.188679245,0.150943396
0,0.290909091,0.127272727
0,0.232142857,0.267857143
0,0.142857143,0.214285714
0,0.2,0.2
0,0.218181818,0.163636364
0,0.206896552,0.224137931
0,0.115384615,0.134615385
0,0.155172414,0.275862069
0,0.259259259,0.222222222
0,0.192982456,0.175438596
0,0.160714286,0.214285714
