type,red,blue,green,orange,yellow,brown,sum
1,1,3,6,8,4,1,23
1,1,4,7,4,3,2,21
1,1,4,9,1,3,3,21
1,2,3,0,5,9,2,21
1,1,4,2,6,6,2,21
1,2,2,7,4,7,3,25
1,0,8,4,3,5,2,22
1,3,4,4,1,6,3,21
1,2,3,2,5,6,2,20
1,4,3,0,2,10,2,21
1,0,9,2,3,3,3,20
1,3,4,3,1,5,3,19
1,2,3,6,1,7,1,20
1,3,4,6,1,0,4,18
1,5,4,7,4,3,0,23
1,2,4,4,2,5,3,20
1,1,1,7,3,6,2,20
1,5,7,3,5,0,1,21
1,4,7,1,4,6,0,22
1,1,1,7,0,11,0,20
1,4,2,7,6,2,0,21
1,2,4,4,3,5,2,20
1,2,2,7,5,2,1,19
1,7,0,3,3,4,2,19
1,6,2,3,4,3,0,18
1,2,5,8,0,0,3,18
1,4,5,3,3,2,3,20
1,2,5,3,3,3,3,19
1,1,5,1,2,5,1,15
1,4,2,2,0,9,2,19
1,4,2,1,1,10,0,18
1,4,4,3,1,2,4,18
1,1,4,5,1,4,4,19
1,0,7,4,2,5,3,21
1,4,6,2,3,5,0,20
1,3,1,11,0,3,1,19
1,2,0,7,1,5,4,19
1,4,2,4,1,6,2,19
1,0,3,6,5,7,1,22
1,3,2,4,5,5,0,19
1,1,4,5,1,4,4,19
0,12,11,16,9,8,2,58
0,3,10,20,6,12,0,51
0,5,14,7,20,9,12,67
0,1,11,21,23,16,11,83
0,8,6,16,15,4,13,62
0,10,14,11,4,11,7,57
0,5,14,15,10,5,8,57
0,7,13,17,4,10,10,61
0,8,11,13,10,11,2,55
0,8,9,14,11,9,7,58
0,6,7,10,10,18,5,56
0,8,17,9,7,8,7,56
0,7,16,10,9,10,6,58
0,5,14,10,8,5,13,55
0,9,6,16,8,7,8,54
0,7,12,8,11,6,13,57
0,10,9,15,12,6,4,56
0,7,13,10,10,10,4,54
0,9,12,13,11,4,8,57
0,10,10,9,12,6,6,53
0,4,15,10,8,7,10,54
0,9,15,10,13,5,4,56
0,4,7,9,14,9,12,55
0,8,13,10,14,5,4,54
0,7,22,8,10,3,5,55
0,3,12,22,7,7,0,51
0,10,15,14,7,2,8,56
0,10,10,11,8,11,3,53
0,9,16,9,7,9,5,55
0,5,13,14,15,7,2,56
0,5,8,15,12,8,8,56
0,10,11,11,11,4,8,55
0,7,12,14,9,8,5,55
0,8,12,13,13,5,7,58
0,11,6,10,7,13,5,52
0,12,9,8,16,7,6,58
0,7,14,7,12,9,5,54
0,7,11,12,10,8,9,57
0,7,9,13,12,11,4,56
